OBJECTID,NAME20,ALAND20,AWATER20,GEOID,NAME,DP02_0001E,DP02_0002E,DP02_0003E,DP02_0004E,DP02_0005E,DP02_0006E,DP02_0007E,DP02_0008E,DP02_0009E,DP02_0010E,DP02_0011E,DP02_0012E,DP02_0013E,DP02_0014E,DP02_0015E,DP02_0016E,DP02_0017E,DP02_0018E,DP02_0019E,DP02_0020E,DP02_0021E,DP02_0022E,DP02_0023E,DP02_0024E,DP02_0025E,DP02_0026E,DP02_0027E,DP02_0028E,DP02_0029E,DP02_0030E,DP02_0031E,DP02_0032E,DP02_0033E,DP02_0034E,DP02_0035E,DP02_0036E,DP02_0037E,DP02_0038E,DP02_0039E,DP02_0040E,DP02_0041E,DP02_0042E,DP02_0043E,DP02_0044E,DP02_0045E,DP02_0046E,DP02_0047E,DP02_0048E,DP02_0049E,DP02_0050E,DP02_0051E,DP02_0052E,DP02_0053E,DP02_0054E,DP02_0055E,DP02_0056E,DP02_0057E,DP02_0058E,DP02_0059E,DP02_0060E,DP02_0061E,DP02_0062E,DP02_0063E,DP02_0064E,DP02_0065E,DP02_0066E,DP02_0067E,DP02_0068E,DP02_0069E,DP02_0070E,DP02_0071E,DP02_0072E,DP02_0073E,DP02_0074E,DP02_0075E,DP02_0076E,DP02_0077E,DP02_0078E,DP02_0079E,DP02_0080E,DP02_0081E,DP02_0082E,DP02_0083E,DP02_0084E,DP02_0085E,DP02_0086E,DP02_0087E,DP02_0088E,DP02_0089E,DP02_0090E,DP02_0091E,DP02_0092E,DP02_0093E,DP02_0094E,DP02_0095E,DP02_0096E,DP02_0097E,DP02_0098E,DP02_0099E,DP02_0100E,DP02_0101E,DP02_0102E,DP02_0103E,DP02_0104E,DP02_0105E,DP02_0106E,DP02_0107E,DP02_0108E,DP02_0109E,DP02_0110E,DP02_0111E,DP02_0112E,DP02_0113E,DP02_0114E,DP02_0115E,DP02_0116E,DP02_0117E,DP02_0118E,DP02_0119E,DP02_0120E,DP02_0121E,DP02_0122E,DP02_0123E,DP02_0124E,DP02_0125E,DP02_0126E,DP02_0127E,DP02_0128E,DP02_0129E,DP02_0130E,DP02_0131E,DP02_0132E,DP02_0133E,DP02_0134E,DP02_0135E,DP02_0136E,DP02_0137E,DP02_0138E,DP02_0139E,DP02_0140E,DP02_0141E,DP02_0142E,DP02_0143E,DP02_0144E,DP02_0145E,DP02_0146E,DP02_0147E,DP02_0148E,DP02_0149E,DP02_0150E,DP02_0151E,DP02_0152E,DP02_0153E,DP02_0154E,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,TRACTCE,SHAPEAREA,SHAPELEN
1,20.02,849376,0,11001002002,"Census Tract 20.02; District of Columbia; District of Columbia",1527,571,316,73,24,293,61,98,52,590,57,325,108,515,379,2.82,3.34,4306,1527,639,77,1251,396,416,1626,706,716,11,48,145,1787,871,601,9,80,226,42,21,24,32,0,9,48,68,17,0,17,0,0,17,17,0,1329,140,105,501,136,447,2921,53,30,374,343,17,871,1233,2838,2104,3380,119,4371,315,1003,0,2881,150,487,165,4321,3861,460,453,197,256,0,256,7,4392,3701,3645,1644,2001,56,691,691,239,452,747,56,10,46,691,207,484,691,87,108,95,0,401,0,4083,3342,741,210,577,152,43,11,6,6,115,41,4392,48,173,0,9,7,221,89,17,275,0,0,367,128,0,72,40,0,5,7,30,0,259,71,0,0,61,125,1527,1473,1427,ACS_Social_DC_CensusTract_32,,{F79FAABC-3E3B-4BD0-9E4F-79726B5F47CA},002002,0,0
2,21.01,600992,0,11001002101,"Census Tract 21.01; District of Columbia; District of Columbia",2458,612,356,161,39,714,121,424,245,971,194,466,95,817,575,2.44,3.37,6007,2458,653,194,1441,1171,90,1927,921,781,0,108,117,2326,1029,693,92,33,479,18,18,15,10,0,29,0,89,0,0,0,0,0,0,0,0,1801,258,167,753,256,367,3843,270,172,760,489,150,964,1038,3401,2002,4201,125,6019,568,1818,43,3572,167,629,358,5993,5235,758,758,539,219,0,219,0,6019,4516,4463,2454,2009,53,1503,1503,769,734,1556,53,21,32,1503,308,1195,1503,29,22,702,0,750,0,5483,3572,1911,936,1185,472,29,6,3,1,694,457,6019,505,12,50,0,0,199,0,52,146,0,0,208,83,0,0,49,0,0,0,54,0,1219,0,0,0,0,118,2458,2340,2138,ACS_Social_DC_CensusTract_33,,{60B198DB-91F1-4644-82FB-4CC7B312871E},002101,0,0
3,29,300632,0,11001002900,"Census Tract 29; District of Columbia; District of Columbia",1672,569,176,261,83,338,0,200,44,504,98,221,21,395,237,2.73,3.49,4561,1672,641,249,1067,396,536,1929,1009,795,8,38,79,1648,885,504,89,60,110,32,0,0,25,0,25,26,42,0,0,0,0,0,0,0,0,966,116,107,350,117,276,3263,180,103,365,250,39,1044,1282,2980,2326,3490,209,4553,413,1063,36,3092,156,398,221,4393,3360,1033,968,801,167,0,167,65,4576,3804,3696,1456,2240,108,772,772,305,467,880,108,71,37,772,166,606,772,55,106,127,0,484,0,4118,3073,1045,549,788,504,100,0,36,0,121,45,4576,74,28,0,18,9,317,40,21,325,13,13,309,308,9,9,134,15,38,29,90,20,83,35,15,42,17,0,1672,1603,1512,ACS_Social_DC_CensusTract_34,,{2B78EAC4-671F-4592-8543-106F252CCF33},002900,0,0
4,31,296819,0,11001003100,"Census Tract 31; District of Columbia; District of Columbia",1807,308,131,242,19,529,46,404,0,728,39,530,75,290,134,1.91,3.07,3448,1807,287,230,628,175,321,1548,1055,410,40,7,36,1506,970,302,9,44,181,58,0,0,46,0,9,120,74,53,53,0,0,0,53,53,0,653,4,128,157,101,263,2733,87,77,188,163,20,803,1395,2569,2198,3004,35,3448,261,447,111,2852,75,149,75,3407,2727,680,673,519,154,0,154,7,3451,2964,2872,712,2160,92,487,487,185,302,579,92,42,50,487,144,343,487,47,24,23,0,356,37,3257,2422,835,205,629,149,38,0,42,15,126,41,3451,25,193,0,5,228,204,8,11,297,12,0,336,213,13,0,120,22,8,17,106,13,62,117,0,16,33,9,1807,1792,1614,ACS_Social_DC_CensusTract_35,,{927428FA-0B78-4492-B247-9DBE77853530},003100,0,0
5,40.01,271037,2414,11001004001,"Census Tract 40.01; District of Columbia; District of Columbia",2439,469,170,192,21,700,0,587,53,1078,30,865,55,221,304,1.74,2.76,4250,2439,474,212,501,14,610,1833,1215,521,18,49,30,2039,1392,483,0,60,104,67,0,0,44,0,29,81,0,0,0,0,0,0,0,0,0,412,95,21,123,45,128,3712,0,15,76,44,62,1591,1924,3697,3515,3827,131,4250,292,423,0,3382,147,445,145,4167,3420,747,714,477,237,0,237,33,4250,3782,3748,790,2958,34,468,468,233,235,502,34,9,25,468,140,328,468,93,96,36,18,225,0,4033,3510,523,15,329,0,105,15,46,0,43,0,4250,68,58,100,18,29,683,66,0,568,0,117,518,493,10,63,107,0,99,47,75,15,0,264,52,15,16,48,2439,2421,2365,ACS_Social_DC_CensusTract_1,,{5F98015F-1746-4762-A406-99E5E197EC35},004001,0,0
6,40.02,194755,0,11001004002,"Census Tract 40.02; District of Columbia; District of Columbia",2016,430,215,168,0,646,28,543,37,772,0,657,324,253,412,1.56,2.61,3146,2016,402,169,330,56,173,1320,797,456,28,0,39,1535,771,453,0,26,285,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,473,6,0,274,46,147,2627,59,19,6,71,38,862,1572,2549,2434,2805,54,3146,159,341,0,2362,110,443,49,3146,2435,711,669,330,339,0,339,42,3146,2384,2347,337,2010,37,762,762,381,381,799,37,0,37,762,267,495,762,352,178,43,0,189,0,3146,2360,786,214,406,146,288,51,50,17,42,0,3146,36,54,63,19,49,664,56,54,513,13,6,568,287,71,40,82,0,269,30,35,7,89,97,0,37,16,22,2016,2010,1998,ACS_Social_DC_CensusTract_2,,{43B4EB5D-9FFB-4105-BAAC-C220C69D7BC1},004002,0,0
7,36,305616,0,11001003600,"Census Tract 36; District of Columbia; District of Columbia",2152,359,78,248,0,532,32,300,44,1013,38,682,198,165,346,2.05,2.95,4420,2152,454,242,526,97,949,1797,1234,401,32,0,130,2363,1589,445,0,90,239,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,706,95,41,293,6,271,3808,136,151,458,247,37,1182,1597,3521,2779,4158,38,4619,465,463,25,3763,177,393,263,4630,3607,1023,950,512,438,0,438,73,4630,3971,3788,795,2993,183,659,659,402,257,842,183,114,69,659,217,442,659,137,198,132,0,192,0,4542,3742,800,171,402,119,243,32,91,0,64,20,4630,145,51,0,0,21,265,18,68,385,42,26,601,323,0,84,136,0,74,20,110,28,195,75,0,0,68,190,2152,2080,1852,ACS_Social_DC_CensusTract_3,,{C325D3E6-C8F5-4507-B68F-64FB03AA5AA2},003600,0,0
8,42.01,204529,0,11001004201,"Census Tract 42.01; District of Columbia; District of Columbia",1881,358,12,145,0,785,0,600,25,593,0,321,16,12,76,1.74,2.13,3273,1881,343,140,31,91,787,1757,1077,461,0,0,219,1503,1056,377,0,16,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,18,240,2860,69,90,36,107,63,1407,1088,2701,2495,3260,54,3273,107,13,0,3163,107,97,0,3273,2529,744,708,378,330,0,330,36,3273,2947,2853,250,2603,94,326,326,87,239,420,94,0,94,326,209,117,326,133,89,0,0,67,37,3260,2979,281,66,131,46,79,12,71,8,0,0,3273,35,80,0,20,93,415,37,10,364,12,8,356,171,0,21,177,16,64,1,79,29,17,92,41,0,0,28,1881,1881,1814,ACS_Social_DC_CensusTract_4,,{E3440EF2-E58C-4EB5-85A3-D6C4BEE14D29},004201,0,0
9,42.02,207646,0,11001004202,"Census Tract 42.02; District of Columbia; District of Columbia",1563,212,27,175,0,489,0,469,36,687,0,531,47,27,228,1.54,2.2,2414,1563,219,178,42,21,391,1232,913,231,0,12,76,1225,896,277,0,0,52,20,0,0,21,0,22,19,0,0,0,0,0,0,0,0,0,407,0,0,0,13,394,2228,12,3,63,89,13,968,1080,2213,2048,2444,56,2486,177,42,13,2150,94,294,70,2461,1620,841,738,261,477,0,477,103,2486,2041,1989,142,1847,52,445,445,182,263,497,52,11,41,445,229,216,445,68,226,51,0,97,3,2457,1899,558,39,276,6,143,29,119,4,20,0,2486,29,32,0,0,39,306,279,8,262,33,11,426,166,16,35,99,11,62,0,29,9,43,36,10,11,26,16,1563,1550,1529,ACS_Social_DC_CensusTract_5,,{AAF2B305-D468-4608-90E4-D3B5D6B4937D},004202,0,0
10,74.07,608700,0,11001007407,"Census Tract 74.07; District of Columbia; District of Columbia",1433,136,12,62,27,313,0,267,60,922,357,266,44,500,311,2.24,2.99,3203,1433,137,70,1173,354,36,847,573,165,0,0,109,1531,828,253,75,156,219,24,12,15,22,0,0,43,152,85,0,0,64,21,85,65,42,1076,75,94,482,252,173,2015,2,129,622,423,160,435,244,1884,679,2154,72,3216,481,1062,93,1812,271,342,117,3199,2949,250,250,222,28,0,28,0,3216,3055,2932,2084,848,123,161,161,128,33,284,123,93,30,161,68,93,161,20,24,57,0,60,0,2954,2729,225,144,102,53,43,29,53,35,27,27,3216,153,0,13,0,0,8,0,8,8,9,0,17,0,0,0,0,0,0,0,0,0,159,13,0,18,0,212,1433,1358,1184,ACS_Social_DC_CensusTract_6,,{6F525E65-AFE8-4256-8F78-06A15B68E686},007407,0,0
