X,Y,OBJECTID_1,Symbol,GlobalID,EditDate,USER_Name,USER_Address,USER_Ward,USER_Open_To,USER_Hours,USER_Phone,USER_Type
1304727.2809813,450223.013191894,257,Office Building,6efdb081-7f23-4ffb-af87-98f6b3b7fce9,2024/05/09 19:41:29.579+00,Pat Handy (Swing Space) ,"1009 11th Street, NW",2,Women,Open 24/7,202-399-7093,Low-Barrier Shelters
1310112.58779597,454112.735071227,258,Office Building,3301700a-6ad8-42d4-addf-40b5d22d75a6,2024/05/09 19:41:29.877+00,Emery Shelter,"1725 Lincoln Road, NE",5,Men,Open 24/7,202-399-7093,Low-Barrier Shelters
1308549.51218197,447504.888706893,259,Office Building,8249bb40-4000-4843-b9eb-151a3744603f,2024/05/09 19:41:30.181+00,Community for Creative Non-Violence (CCNV),"425 2nd Street, NW",6,All,Open 24/7,202-399-7093,Low-Barrier Shelters
1313181.90416388,449549.966309637,260,Office Building,60d12e93-e0f6-40a8-89b5-2e000324e2d2,2024/05/09 19:41:30.526+00,Blair House,"635 I Street, NE",6,Men,Closed for Renovations,202-399-7093,Low-Barrier Shelters
1319737.87891281,443821.439708978,261,Office Building,fdfae458-de75-4529-9e75-2211e3d400f9,2024/05/09 19:41:30.813+00,DC General Building 9 Harriet Tubman,"1900 Massachusetts Avenue, SE",7,Women,Open 24/7,202-399-7093,Low-Barrier Shelters
1332030.11187422,443231.29325147,262,Office Building,04ba138f-3975-4a21-8074-4b2ae6a092a3,2024/05/09 19:41:31.064+00,Living Life Alternatively (LGBTQ+),"400 50th Street, SE",7,Men,Open 24/7,202-399-7093,Low-Barrier Shelters
1314221.79775339,431774.646217316,263,Office Building,fb4c451f-f36c-48fc-a469-c7ef85d91da9,2024/05/09 19:41:31.218+00,801 East Shelter,"2722 Martin Luther King Jr Ave, SE",8,Men,Open 24/7,202-399-7093,Low-Barrier Shelters
1304727.2809813,450223.013191894,264,Office Building,de576cdd-0829-4559-a0e9-981e2a650ccd,2024/05/09 19:41:31.548+00,Adams Place Day Center,"1009 11th Street, NW",5,All,"Mon-Fri: 7AM-7PM
Sat & Sun: Closed",202-374-6846,Day Centers
1303450.14508414,449154.85916023,265,Office Building,c229523c-63b3-4ab3-9ca0-3baded189eb5,2024/05/09 19:41:31.727+00,Downtown Day Center ,"1313 New York Avenue, NW",2,All,"Mon-Fri: 9AM-5PM
Sat: 10AM-3PM",202-383-8810,Day Centers
1303390.90635747,451921.334926471,266,Office Building,9ec53bac-0dd5-4f5e-a8cc-e6ebf58dec17,2024/05/09 19:41:31.943+00,Bethany Day Center,"1333 N Street, NW",2,Women,"Mon-Fri: 8AM-4PM
Sat & Sun: Closed",202-939-2076,Day Centers
1314221.79775339,431774.646217316,267,Office Building,2e6fda63-3ceb-411a-b2f8-9285d2ac67a8,2024/05/09 19:41:32.212+00,801 East Shelter – Day Center,"2722 Martin Luther King Jr Ave, SE",8,Men,Open 24/7,202-399-7093,Day Centers
