"Label (Grouping)","Population for whom poverty status is determined","Population for whom poverty status is determined!!AGE","Population for whom poverty status is determined!!AGE!!Under 18 years","Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years","Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years","Population for whom poverty status is determined!!AGE!!Under 18 years!!Related children of householder under 18 years","Population for whom poverty status is determined!!AGE!!18 to 64 years","Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years","Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years","Population for whom poverty status is determined!!AGE!!60 years and over","Population for whom poverty status is determined!!AGE!!65 years and over","Population for whom poverty status is determined!!SEX","Population for whom poverty status is determined!!SEX!!Male","Population for whom poverty status is determined!!SEX!!Female","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Population for whom poverty status is determined!!EMPLOYMENT STATUS","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Male","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Female","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Male","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Female","Population for whom poverty status is determined!!WORK EXPERIENCE","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Worked full-time, year-round in the past 12 months","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Worked part-time or part-year in the past 12 months","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Did not work","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Male","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Female","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!15 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!16 to 17 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!18 to 24 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!25 to 34 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!35 to 44 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!45 to 54 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!55 to 64 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!65 to 74 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!75 years and over","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Mean income deficit for unrelated individuals (dollars)","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Worked full-time, year-round in the past 12 months","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Worked less than full-time, year-round in the past 12 months","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Did not work","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Population in housing units for whom poverty status is determined"
"ZCTA5 20001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","41,993","","3,597","1,407","2,190","3,597","35,025","19,481","15,544","4,731","3,371","","21,386","20,607","","21,545","11,808","116","3,700","0","1,907","2,917","4,639","20,133","","34,855","1,921","3,112","3,148","26,674","","31,548","30,241","15,838","14,403","1,307","891","416","","38,701","24,967","7,192","6,542","","2,940","6,604","7,398","8,716","9,221","11,153","14,926","18,228","25,005","13,089","11,916","0","0","2,977","12,166","3,571","2,509","1,860","1,310","612","8,781","16,446","4,520","4,039","41,167"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,441","","372","51","321","372","4,160","2,119","2,041","1,218","909","","2,669","2,772","","1,089","2,839","31","795","0","140","547","573","1,056","","4,266","971","1,325","727","1,243","","1,884","1,375","689","686","509","352","157","","5,105","392","1,488","3,225","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4,196","2,028","2,168","0","0","759","1,249","326","507","685","398","272","(X)","360","1,118","2,718","4,714"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13.0%","","10.3%","3.6%","14.7%","10.3%","11.9%","10.9%","13.1%","25.7%","27.0%","","12.5%","13.5%","","5.1%","24.0%","26.7%","21.5%","-","7.3%","18.8%","12.4%","5.2%","","12.2%","50.5%","42.6%","23.1%","4.7%","","6.0%","4.5%","4.4%","4.8%","38.9%","39.5%","37.7%","","13.2%","1.6%","20.7%","49.3%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","16.8%","15.5%","18.2%","-","-","25.5%","10.3%","9.1%","20.2%","36.8%","30.4%","44.4%","(X)","2.2%","24.7%","67.3%","11.5%"
"ZCTA5 20002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","69,042","","11,969","4,141","7,828","11,969","51,936","25,231","26,705","8,131","5,137","","32,895","36,147","","30,281","29,407","312","1,996","30","1,642","5,374","6,231","27,774","","51,623","2,810","6,930","7,004","34,879","","46,330","43,427","20,763","22,664","2,903","1,283","1,620","","57,996","35,986","10,153","11,857","","4,919","11,272","12,745","14,426","16,028","21,532","27,734","33,752","30,011","13,766","16,245","0","0","3,114","13,657","5,132","3,164","2,777","1,300","867","8,807","20,086","5,472","4,453","67,762"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,431","","2,766","550","2,216","2,766","5,833","2,685","3,148","1,586","832","","4,282","5,149","","1,110","7,588","45","157","6","96","429","405","941","","5,570","1,299","1,943","1,416","912","","2,590","1,483","746","737","1,107","433","674","","6,898","423","1,711","4,764","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4,119","2,094","2,025","0","0","766","782","388","673","934","330","246","(X)","209","1,237","2,673","8,505"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13.7%","","23.1%","13.3%","28.3%","23.1%","11.2%","10.6%","11.8%","19.5%","16.2%","","13.0%","14.2%","","3.7%","25.8%","14.4%","7.9%","20.0%","5.8%","8.0%","6.5%","3.4%","","10.8%","46.2%","28.0%","20.2%","2.6%","","5.6%","3.4%","3.6%","3.3%","38.1%","33.7%","41.6%","","11.9%","1.2%","16.9%","40.2%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","13.7%","15.2%","12.5%","-","-","24.6%","5.7%","7.6%","21.3%","33.6%","25.4%","28.4%","(X)","1.0%","22.6%","60.0%","12.6%"
"ZCTA5 20003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,625","","4,205","1,917","2,288","4,205","24,922","12,711","12,211","4,559","3,498","","16,125","16,500","","22,802","6,040","71","1,382","0","616","1,714","2,100","21,902","","26,525","440","1,486","2,115","22,484","","23,037","22,013","10,945","11,068","1,024","461","563","","28,930","19,655","3,973","5,302","","1,501","2,853","3,664","3,946","4,315","5,955","7,569","9,534","15,015","7,319","7,696","0","0","1,104","6,915","2,830","1,257","1,331","1,003","575","8,209","10,950","1,922","2,143","32,104"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,666","","424","55","369","424","1,810","733","1,077","696","432","","1,009","1,657","","724","1,479","19","30","0","261","153","297","691","","1,921","210","720","392","599","","810","497","253","244","313","157","156","","2,350","83","593","1,674","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,787","784","1,003","0","0","263","300","334","156","396","244","94","(X)","71","485","1,231","2,211"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
