OBJECTID,NAME20,ALAND20,AWATER20,GEOID,NAME,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0004E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0018E,DP05_0019E,DP05_0020E,DP05_0021E,DP05_0022E,DP05_0023E,DP05_0024E,DP05_0025E,DP05_0026E,DP05_0027E,DP05_0028E,DP05_0029E,DP05_0030E,DP05_0031E,DP05_0032E,DP05_0033E,DP05_0034E,DP05_0035E,DP05_0036E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0040E,DP05_0041E,DP05_0042E,DP05_0043E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0047E,DP05_0048E,DP05_0049E,DP05_0050E,DP05_0051E,DP05_0052E,DP05_0053E,DP05_0054E,DP05_0055E,DP05_0056E,DP05_0057E,DP05_0058E,DP05_0059E,DP05_0060E,DP05_0061E,DP05_0062E,DP05_0063E,DP05_0064E,DP05_0065E,DP05_0066E,DP05_0067E,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0075E,DP05_0076E,DP05_0077E,DP05_0078E,DP05_0079E,DP05_0080E,DP05_0081E,DP05_0082E,DP05_0083E,DP05_0084E,DP05_0085E,DP05_0086E,DP05_0087E,DP05_0088E,DP05_0089E,DP05_0090E,DP05_0091E,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,TRACTCE,SHAPEAREA,SHAPELEN
1,32,447929,0,11001003200,"Census Tract 32; District of Columbia; District of Columbia",4136,1895,2241,84.6,316,328,307,165,177,1155,492,401,187,225,296,55,32,32.1,1029,3146,3107,3020,559,383,3107,1448,1659,87.3,383,100,283,35.3,4136,3884,252,3884,1791,1684,0,0,0,0,0,143,87,15,0,9,8,0,24,0,0,0,0,0,266,252,35,0,18,83,22,53,4136,1957,1816,28,196,8,413,4136,705,43,89,0,573,3431,1521,1661,0,143,0,0,106,13,93,1979,2830,1274,1556,ACS_Demographic_DC_CensusTract_36,,{1ABB8A08-11DB-4493-8024-FFDA40527746},003200,0,0
2,34,911458,159593,11001003400,"Census Tract 34; District of Columbia; District of Columbia",3800,1539,2261,68.1,73,65,42,1178,443,961,520,209,82,38,137,47,5,25.8,292,3620,3508,2324,227,189,3508,1374,2134,64.4,189,98,91,107.7,3800,3301,499,3301,1154,1581,0,0,0,0,0,428,120,231,18,0,3,27,29,14,0,14,0,0,124,499,28,7,79,333,0,39,3800,1614,1648,20,507,14,509,3800,418,33,32,0,353,3382,1083,1560,0,418,14,82,225,111,114,1349,3277,1266,2011,ACS_Demographic_DC_CensusTract_37,,{0A54B70F-F745-454D-A06D-C5BDB338EBE3},003400,0,0
3,35,382021,0,11001003500,"Census Tract 35; District of Columbia; District of Columbia",3955,2106,1849,113.9,49,35,0,494,874,1589,325,209,118,109,59,69,25,28.4,153,3864,3802,3024,224,153,3802,2033,1769,114.9,153,70,83,84.3,3955,3633,322,3633,1386,2042,38,0,0,0,0,118,26,25,0,0,10,5,52,0,0,0,0,0,49,322,53,0,93,102,6,26,3955,1658,2145,68,229,0,201,3955,246,64,39,0,143,3709,1370,1996,24,118,0,0,201,40,161,2099,3575,1884,1691,ACS_Demographic_DC_CensusTract_38,,{78724812-5166-4ED3-A94D-39A2A9478B91},003500,0,0
4,53.02,117635,0,11001005302,"Census Tract 53.02; District of Columbia; District of Columbia",2538,1388,1150,120.7,234,32,23,0,154,1136,576,118,66,62,111,26,0,31,289,2249,2249,2249,172,137,2249,1227,1022,120.1,137,68,69,98.6,2538,2360,178,2360,1924,30,0,0,0,0,0,265,58,38,0,94,65,0,10,0,0,0,0,0,141,178,51,0,21,106,0,0,2538,2102,81,0,286,0,247,2538,416,61,0,0,355,2122,1755,30,0,265,0,0,72,27,45,1719,1855,1082,773,ACS_Demographic_DC_CensusTract_39,,{059FFEB1-6365-4AEE-9365-5AA9C21C6121},005302,0,0
5,44.02,274746,0,11001004402,"Census Tract 44.02; District of Columbia; District of Columbia",2464,1265,1199,105.5,187,51,4,5,256,809,445,188,112,144,199,64,0,34.5,245,2219,2219,2116,365,263,2219,1157,1062,108.9,263,164,99,165.7,2464,2102,362,2102,1238,570,53,0,0,0,0,137,25,12,56,0,6,0,38,0,0,0,0,0,104,362,47,0,0,53,262,0,2464,1338,879,315,137,0,157,2464,176,43,0,20,113,2288,1219,570,19,137,0,25,318,9,309,1392,2191,1142,1049,ACS_Demographic_DC_CensusTract_40,,{183878F1-AF71-4643-93BA-B91B37170855},004402,0,0
6,106.02,542509,0,11001010602,"Census Tract 106.02; District of Columbia; District of Columbia",6682,3164,3518,89.9,381,394,195,165,434,2140,1201,765,187,406,179,218,17,32.8,1129,5712,5553,5471,597,414,5553,2514,3039,82.7,414,220,194,113.4,6682,6256,426,6256,3415,2299,0,0,0,0,0,388,82,36,21,77,132,13,27,0,0,0,0,0,154,426,138,59,66,146,0,17,6682,3824,2454,59,454,0,317,6682,411,92,12,20,287,6271,3226,2296,0,388,0,131,230,26,204,3376,5297,2420,2877,ACS_Demographic_DC_CensusTract_41,,{B87BC824-C6AB-4C4A-AF9E-A7B0205C6CB7},010602,0,0
7,40.01,271037,2414,11001004001,"Census Tract 40.01; District of Columbia; District of Columbia",4250,2041,2209,92.4,217,85,76,45,115,2015,624,288,159,181,184,216,45,33.1,423,3841,3827,3827,546,445,3827,1833,1994,91.9,445,228,217,105.1,4250,3970,280,3970,3132,535,0,0,0,0,0,223,58,31,13,0,41,45,35,0,0,0,0,0,80,280,118,21,37,78,0,0,4250,3412,653,47,260,0,184,4250,481,91,0,0,390,3769,2958,397,0,223,0,15,176,0,176,2498,3592,1733,1859,ACS_Demographic_DC_CensusTract_1,,{36C81495-1BF4-4407-BDC8-CF336CD6C638},004001,0,0
8,40.02,194755,0,11001004002,"Census Tract 40.02; District of Columbia; District of Columbia",3146,1526,1620,94.2,0,119,172,60,168,1021,320,582,166,95,328,89,26,35.5,341,2831,2805,2795,473,443,2805,1270,1535,82.7,443,65,378,17.2,3146,2776,370,2776,2246,168,0,0,0,0,0,166,100,6,0,33,0,13,14,0,0,0,0,0,196,370,0,54,195,121,0,0,3146,2616,168,54,361,0,317,3146,367,191,20,0,156,2779,2202,168,0,166,0,0,243,48,195,2326,2447,1012,1435,ACS_Demographic_DC_CensusTract_2,,{89793A2E-DA39-452A-A786-5B8B9AC99B8C},004002,0,0
9,36,305616,0,11001003600,"Census Tract 36; District of Columbia; District of Columbia",4630,2180,2450,89,88,223,159,19,333,1526,1108,375,267,139,219,95,79,34.7,472,4158,4158,4139,437,393,4158,1795,2363,76,393,110,283,38.9,4630,4461,169,4461,2687,1296,8,0,0,0,0,248,68,49,0,0,101,0,30,0,0,0,0,0,222,169,13,0,6,139,0,0,4630,2856,1309,19,265,0,372,4630,715,85,16,0,614,3915,2435,1188,8,248,0,17,19,0,19,2397,3901,1621,2280,ACS_Demographic_DC_CensusTract_3,,{98FCF544-1D35-4AB2-8A9D-084E41A4AEFB},003600,0,0
10,42.01,204529,0,11001004201,"Census Tract 42.01; District of Columbia; District of Columbia",3273,1757,1516,115.9,13,0,0,18,382,1297,542,373,348,203,81,16,0,33.2,13,3260,3260,3242,253,97,3260,1757,1503,116.9,97,66,31,212.9,3273,3011,262,3011,2711,132,0,0,0,0,0,168,14,59,0,0,68,12,15,0,0,0,0,0,0,262,91,0,25,124,0,0,3273,2959,223,22,193,0,146,3273,339,14,21,27,277,2934,2508,121,0,168,0,0,137,13,124,2293,3021,1631,1390,ACS_Demographic_DC_CensusTract_4,,{BAEE0705-4825-4F18-A17A-7ADD9DC1BDDB},004201,0,0
