OBJECTID,TRACT,ID2,GEO_ID,NAME,ID,TOTALPOP,P_POC,P_CHILD,P_ELDERLY,P_POVERTY,P_DISABILITY,P_LIMENG,ASTHMA,CHD,OBESITY,HSI,P_TREECOVER,P_NOTREE,P_IMPSURF,AIRTEMP_MEAN,HEI,HSEI,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,001600,11001001600,1400000US11001001600,"Census Tract 16, District of Columbia, District of Columbia",30,5014,76.5,4.9,22.8,4,8.9,0.9,9.6,5.7,27,0.30982323,0.63701471,0.36298529,27.70954848,33.21163396,0.23949691,0.27466007,HSEIPly_35,,{1DAB1163-FE72-4421-BB86-8043A89DDAF9},,,,,0,0
2,001500,11001001500,1400000US11001001500,"Census Tract 15, District of Columbia, District of Columbia",29,6016,30.5,6.8,27.6,6,6.6,3.8,8.3,5.2,20.6,0.23294905,0.76540962,0.23459038,18.02190967,32.37127513,0.07254534,0.15274719,HSEIPly_34,,{223D6E3B-7985-4967-B9AF-DADADFB2387F},,,,,0,0
3,010300,11001010300,1400000US11001010300,"Census Tract 103, District of Columbia, District of Columbia",194,4272,82,2.3,9.5,19,9.2,10.5,10.4,4.8,28.8,0.32067944,0.29462927,0.70537073,45.24673906,34.16753391,0.50193364,0.41130654,HSEIPly_194,,{D3904052-16DE-4CFA-908C-65AC49CBA47B},,,,,0,0
4,001702,11001001702,1400000US11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",31,3667,61,3.5,16.5,10,8.8,4.4,9.9,3.9,25.5,0.26179847,0.41958466,0.58041534,47.81604416,34.53509276,0.52284197,0.39232022,HSEIPly_36,,{B865449C-2A95-4038-B11B-7AD69E5022BE},,,,,0,0
5,001803,11001001803,1400000US11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",32,4161,88.7,5.9,9.6,40,17.2,20.6,12,5.4,33.4,0.4730735,0.58355615,0.41644385,15.62309126,33.00942317,0.18773175,0.33040262,HSEIPly_37,,{BA5B55B8-71C6-461F-A9C3-A977156BC5D2},,,,,0,0
6,001804,11001001804,1400000US11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",33,5803,93.6,7.3,11.8,48,18,23.9,12.2,6.6,36,0.53965913,0.31862208,0.68137792,45.36222728,35.30484159,0.63292598,0.58629255,HSEIPly_38,,{0A84B8D9-4DF7-4974-AFDC-5D3A3BB68911},,,,,0,0
7,001401,11001001401,1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",27,3641,40.3,13.4,18.7,6,5.5,2.5,8.5,3.8,20.2,0.23852708,0.53387581,0.4661242,42.02384614,34.09382005,0.42075743,0.32964225,HSEIPly_32,,{E63C385C-C88E-4613-A1E6-963B8BF26B9F},,,,,0,0
8,009505,11001009505,1400000US11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",166,3907,89.2,1.1,13.6,12,13.5,0,10.8,5.9,30.4,0.3287029,0.26804444,0.73195556,43.29076503,35.84857232,0.70421775,0.51646032,HSEIPly_166,,{502D2978-4321-4CC5-9FC3-7C2500485E87},,,,,0,0
9,001902,11001001902,1400000US11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",35,2460,82,7,15.4,23,12.8,8.3,10.6,5.7,30.2,0.38913226,0.29745209,0.70254791,40.81016731,36.20477688,0.73106141,0.56009684,HSEIPly_40,,{F9317C64-E531-469C-AA8F-8A0ACA7DADA1},,,,,0,0
10,001901,11001001901,1400000US11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",34,4220,84.1,3.1,14.4,23,9.6,13.4,10.4,5.1,29.4,0.36163047,0.24230292,0.75769708,50.64039973,36.03479635,0.75823612,0.55993329,HSEIPly_39,,{5CBF7E39-0F2D-4518-BE1C-F8DEDC94638C},,,,,0,0
11,001100,11001001100,1400000US11001001100,"Census Tract 11, District of Columbia, District of Columbia",22,4782,31,4.6,28.1,10,11.2,4.2,8.3,4.4,19.6,0.23194717,0.47965011,0.52034989,44.63500701,33.97416127,0.42916359,0.33055538,HSEIPly_27,,{35302255-D1A7-45AF-8D1D-BC001BEED860},,,,,0,0
12,001402,11001001402,1400000US11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",28,3476,39.3,8.7,25.3,9,13.5,3.7,8.4,5.6,20.7,0.27894449,0.61277795,0.38722205,34.58106097,33.73948524,0.33257879,0.30576164,HSEIPly_33,,{A92864FD-A1A4-4C6D-A4B6-091AC0057CD2},,,,,0,0
13,002001,11001002001,1400000US11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",36,3578,92.1,8.9,15.9,46,14.1,35.7,11.2,6,31.7,0.54630811,0.50413872,0.49586128,35.30339889,34.17767927,0.41558014,0.48094413,HSEIPly_41,,{3267F943-DD08-4642-8B52-E6BD9A0FA6AB},,,,,0,0
14,001301,11001001301,1400000US11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",24,4567,36.4,4.5,18.5,9,6.3,3.3,8.8,3.5,19,0.18688124,0.79831235,0.20168765,15.12935584,32.35005817,0.05170881,0.11929502,HSEIPly_29,,{A5C8A0F0-4318-4969-999E-8C074997106E},,,,,0,0
15,009507,11001009507,1400000US11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",167,1889,96.5,7.3,14.2,42,7.5,0,11.9,6.9,32.4,0.42013782,0.27054062,0.72945938,41.15501711,36.12621455,0.72968891,0.57491336,HSEIPly_167,,{9CE0AB12-F33A-4BD5-9AA7-6AF3AF221CA6},,,,,0,0
16,002002,11001002002,1400000US11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",37,4440,76.8,8.1,10.8,15,5.7,6.6,10.7,4.8,28.9,0.32638006,0.35113964,0.64886037,48.03166826,35.28958348,0.63184448,0.47911227,HSEIPly_1,,{5C1F7532-AA60-4D37-90DF-9934F19516B7},,,,,0,0
17,002101,11001002101,1400000US11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",38,5693,89.5,7.8,12,26,8.6,8.3,10.7,4.5,30.1,0.37331342,0.1949596,0.8050404,52.87147843,35.65116849,0.73184375,0.55257859,HSEIPly_2,,{332987B9-7345-418C-A24D-68E136BDABFD},,,,,0,0
18,001004,11001001004,1400000US11001001004,"Census Tract 10.04, District of Columbia, District of Columbia",21,4605,20.7,4.4,17.2,14,8.1,4.1,8.6,3.6,18.9,0.17464451,0.48847132,0.51152868,42.4740117,33.87797553,0.40797793,0.29131122,HSEIPly_26,,{2CCA1F9B-463D-42B7-A05B-638AC49DF91A},,,,,0,0
19,002600,11001002600,1400000US11001002600,"Census Tract 26, District of Columbia, District of Columbia",48,2746,63.4,8.2,22.4,8,14.5,5.2,9,4.9,24.6,0.32158088,0.70557921,0.29442079,19.41778026,32.96639269,0.16419513,0.242888,HSEIPly_48,,{877D6217-846F-4AE9-9814-92547D898E4A},,,,,0,0
20,002102,11001002102,1400000US11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",39,5607,89.1,6.2,14.6,22,10.6,4.8,10.9,5.2,30.4,0.37177792,0.23475672,0.76524328,52.54718224,35.89846365,0.75027112,0.56102452,HSEIPly_3,,{574D1D8B-9E25-4F1F-9782-0730FB8968CD},,,,,0,0
21,009508,11001009508,1400000US11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",168,4098,95.8,2.1,20.1,35,18.4,11.9,11.5,6.6,32,0.46154368,0.30442637,0.69557363,37.63857621,36.05951579,0.70100713,0.58127541,HSEIPly_168,,{C997F163-1913-47F8-BF6E-6F76976B0B64},,,,,0,0
22,001003,11001001003,1400000US11001001003,"Census Tract 10.03, District of Columbia, District of Columbia",20,2987,17.3,10.6,17.7,9,4,0,8.6,3.6,18.9,0.17500368,0.46078231,0.53921769,42.4740117,33.84888861,0.41157944,0.29329156,HSEIPly_25,,{05FEF29A-B976-4B65-BB0F-C50B98280FB8},,,,,0,0
23,001200,11001001200,1400000US11001001200,"Census Tract 12, District of Columbia, District of Columbia",23,5135,30.5,5.9,19.9,11,7.2,0,8.6,3.3,19.2,0.18294195,0.48488294,0.51511706,47.46302717,34.34735129,0.48232454,0.33263324,HSEIPly_28,,{DDC61019-1879-4EB1-B979-892A2DA735D4},,,,,0,0
24,009503,11001009503,1400000US11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",164,3110,79,7,24.3,21,10.2,3.7,10.1,5.7,28.1,0.37193728,0.38159323,0.61840677,31.07125811,33.90097597,0.39931616,0.38562672,HSEIPly_164,,{AFECE803-964F-43D7-AF06-FF1728906E94},,,,,0,0
25,009510,11001009510,1400000US11001009510,"Census Tract 95.10, District of Columbia, District of Columbia",170,5272,95.1,14,9.2,45,10.3,19.9,12.8,4.5,29.1,0.49279412,0.43036963,0.56963038,36.01032503,35.34632833,0.57741921,0.53510667,HSEIPly_170,,{EDF81FEB-6B4A-472B-AB49-8A4F42D2D880},,,,,0,0
26,009509,11001009509,1400000US11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",169,3575,91.1,15,17.5,6,14.5,2.2,10.9,5.9,30.6,0.42642857,0.20520499,0.79479501,40.69884533,36.50839331,0.79083968,0.60863413,HSEIPly_169,,{94C72D9C-9A4A-4E13-963D-6F0F7B0C4598},,,,,0,0
